Commodity Code,Commodity Name,State Code,State Name,State Abbreviation,County Code,County Name,Irrigation Practice Code,Irrigation Practice Name,Yield Year,Yield Amount
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2016, 199.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2017, 198.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2018, 204.10
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2019, 175.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2020, 187.70
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2021, 189.20
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2022, 205.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2023, 193.60
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2024, 211.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2016, 144.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2017, 139.10
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2018, 156.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2019, 144.90
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2020, 139.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2021, 151.90
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2022, 152.20
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2023, 158.40
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2024, 172.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2016, 162.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2017, 177.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2018, 209.00
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2019, 184.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2020, 191.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2021, 220.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2022, 211.70
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2023, 179.50
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2024, 194.80
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2016, 219.90
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2017, 173.90
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2018, 200.20
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2019, 187.30
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2020, 197.40
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2021, 213.70
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2022, 219.50
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2023, 216.30
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2024, 217.50
0041, Corn, 17, Illinois, IL, 009, Brown, 003, Non-Irrigated, 2016, 198.00
0041, Corn, 17, Illinois, IL, 009, Brown, 003, Non-Irrigated, 2017, 194.40
